beam_altitude_angles
16.545
15.938
15.379
14.843
14.37
13.785
13.236
12.688
12.241
11.665
11.128
10.587
10.125
9.573
9.03
8.485
8.036
7.478
6.941
6.402
5.962
5.406
4.878
4.321
3.875
3.33
2.788
2.242
1.793
1.255
0.705
0.167
-0.276
-0.825
-1.454
-1.921
-2.352
-2.897
-3.448
-3.995
-4.433
-4.976
-5.518
-6.075
-6.519
-7.057
-7.601
-8.159
-8.604
-9.141
-9.697
-10.252
-10.713
-11.245
-11.789
-12.359
-12.812
-13.35
-13.914
-14.495
-14.968
-15.512
-16.062
-16.677

beam_azimuth_angles
3.06
0.903
-1.24
-3.346
3.04
0.919
-1.205
-3.29
3.028
0.934
-1.175
-3.256
3.024
0.934
-1.165
-3.232
3.021
0.944
-1.123
-3.2
3.042
0.973
-1.101
-3.167
3.041
0.99
-1.074
-3.134
3.07
1.006
-1.049
-3.096
3.092
1.037
-1.086
-3.085
3.118
1.061
-0.993
-3.057
3.168
1.095
-0.976
-3.045
3.2
1.13
-0.952
-3.023
3.235
1.16
-0.931
-3.012
3.287
1.194
-0.894
-3.004
3.341
1.23
-0.866
-3.01
3.408
1.281
-0.857
-3.004
